filename,hh,mm,ss,style,cx,cy,used_hough,hough_radius,dial_source,simple_fallback,frac_mask_beyond_dial,hand_length_scale,hand_r,w,h
analog_00_00_00_orange.png,0,0,0,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_00_01_orange.png,0,0,1,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_05_59_orange.png,0,5,59,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_07_59_orange.png,0,7,59,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_11_47_orange.png,0,11,47,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_19_18_orange.png,0,19,18,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_22_19_orange.png,0,22,19,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_31_54_orange.png,0,31,54,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_33_59_orange.png,0,33,59,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_39_09_orange.png,0,39,9,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_46_56_orange.png,0,46,56,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_48_51_orange.png,0,48,51,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_54_26_orange.png,0,54,26,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_00_57_48_orange.png,0,57,48,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_00_00_orange.png,1,0,0,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_00_21_orange.png,1,0,21,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_01_01_orange.png,1,1,1,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_03_37_orange.png,1,3,37,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_05_05_orange.png,1,5,5,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_05_40_orange.png,1,5,40,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_06_38_orange.png,1,6,38,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_14_52_orange.png,1,14,52,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_19_23_orange.png,1,19,23,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_35_15_orange.png,1,35,15,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_43_41_orange.png,1,43,41,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_45_27_orange.png,1,45,27,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_46_29_orange.png,1,46,29,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_47_20_orange.png,1,47,20,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_48_01_orange.png,1,48,1,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_51_20_orange.png,1,51,20,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_54_30_orange.png,1,54,30,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_55_21_orange.png,1,55,21,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_01_57_22_orange.png,1,57,22,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_00_00_orange.png,2,0,0,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_00_29_orange.png,2,0,29,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_05_46_orange.png,2,5,46,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_08_09_orange.png,2,8,9,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_10_10_orange.png,2,10,10,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_13_14_orange.png,2,13,14,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_13_42_orange.png,2,13,42,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_17_56_orange.png,2,17,56,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_18_32_orange.png,2,18,32,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_26_26_orange.png,2,26,26,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_26_42_orange.png,2,26,42,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_28_51_orange.png,2,28,51,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_29_26_orange.png,2,29,26,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_30_01_orange.png,2,30,1,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_32_15_orange.png,2,32,15,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_34_13_orange.png,2,34,13,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_42_58_orange.png,2,42,58,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_43_55_orange.png,2,43,55,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_45_18_orange.png,2,45,18,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_48_03_orange.png,2,48,3,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_49_17_orange.png,2,49,17,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_49_41_orange.png,2,49,41,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_02_56_44_orange.png,2,56,44,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_00_00_orange.png,3,0,0,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_05_24_orange.png,3,5,24,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_09_40_orange.png,3,9,40,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_15_12_orange.png,3,15,12,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_15_15_orange.png,3,15,15,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_22_54_orange.png,3,22,54,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_29_08_orange.png,3,29,8,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_42_27_orange.png,3,42,27,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_43_47_orange.png,3,43,47,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_47_35_orange.png,3,47,35,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_49_27_orange.png,3,49,27,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_55_40_orange.png,3,55,40,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_03_56_16_orange.png,3,56,16,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_04_00_00_orange.png,4,0,0,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_04_01_02_orange.png,4,1,2,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_04_12_26_orange.png,4,12,26,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_04_16_07_orange.png,4,16,7,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_04_17_18_orange.png,4,17,18,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_04_20_20_orange.png,4,20,20,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
analog_04_23_48_orange.png,4,23,48,orange,200,199,True,158.32000732421875,hough,,0.0,0.62,104.16,400,400
