filename,hh,mm,ss,style,cx,cy,used_hough,hough_radius,frac_mask_beyond_dial,w,h
analog_00_00_00_3d.png,0,0,0,3d,199,200,True,153.8800048828125,0.0,400,400
analog_00_00_00_atc.png,0,0,0,atc,200,200,True,154.95999145507812,0.0,400,400
analog_00_00_00_design3.png,0,0,0,design3,200,200,True,148.1199951171875,0.0,400,400
analog_00_00_00_js30.png,0,0,0,js30,200,200,True,149.9199981689453,0.0,400,400
analog_00_00_00_orange.png,0,0,0,orange,200,199,True,158.32000732421875,0.0,400,400
analog_00_00_00_simple.png,0,0,0,simple,200,200,False,,0.0,400,400
analog_00_00_00_sweet.png,0,0,0,sweet,200,200,True,154.48001098632812,0.0,400,400
analog_00_00_00_vue.png,0,0,0,vue,200,200,True,154.95999145507812,0.0,400,400
analog_00_00_00_wall.png,0,0,0,wall,200,200,True,126.76000213623047,0.0,400,400
analog_00_00_00_watch.png,0,0,0,watch,200,199,True,153.52000427246094,0.0,400,400
analog_00_00_01_3d.png,0,0,1,3d,199,200,True,153.8800048828125,0.0,400,400
analog_00_00_01_atc.png,0,0,1,atc,200,200,True,154.95999145507812,0.0,400,400
analog_00_00_01_design3.png,0,0,1,design3,200,200,True,148.1199951171875,0.0,400,400
analog_00_00_01_js30.png,0,0,1,js30,200,200,True,149.9199981689453,0.0,400,400
analog_00_00_01_orange.png,0,0,1,orange,200,199,True,158.32000732421875,0.0,400,400
analog_00_00_01_simple.png,0,0,1,simple,200,200,False,,0.0,400,400
analog_00_00_01_sweet.png,0,0,1,sweet,200,200,True,154.48001098632812,0.0,400,400
analog_00_00_01_vue.png,0,0,1,vue,200,200,True,154.95999145507812,0.0,400,400
analog_00_00_01_wall.png,0,0,1,wall,200,200,True,126.76000213623047,0.0,400,400
analog_00_00_01_watch.png,0,0,1,watch,200,199,True,153.52000427246094,0.0,400,400
analog_00_05_59_3d.png,0,5,59,3d,199,200,True,153.8800048828125,0.0,400,400
analog_00_05_59_atc.png,0,5,59,atc,200,200,True,154.95999145507812,0.0,400,400
analog_00_05_59_design3.png,0,5,59,design3,200,200,True,148.1199951171875,0.0,400,400
analog_00_05_59_js30.png,0,5,59,js30,200,200,True,149.9199981689453,0.0,400,400
